id,blok,temat,zdanie,zrodlo,wydanie,pewnosc,zgadzam_sie,poprawka
"hiv-0066","pep","czym jest PEP","PEP to leki brane po możliwym kontakcie z HIV, żeby zapobiec zakażeniu.","Zjednoczenie Pozytywni w Tęczy","2025","VERIFIED","",""
"hiv-0067","pep","okno czasowe","PEP trzeba zacząć jak najszybciej — najlepiej w ciągu dwóch godzin, maksymalnie do 48, a w uzasadnionych przypadkach do 72 godzin.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0068","pep","okno czasowe","Po 72 godzinach PEP nie jest już zalecany — nie ma dowodów, że działa. Zgłoś się mimo to: potrzebne są testy wyjściowe i ocena, co dalej.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0069","pep","czas trwania","PEP przyjmuje się codziennie przez 28 dni.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0070","pep","kto płaci","W Polsce PEP przy ekspozycji zawodowej opłaca pracodawca.","gov.pl","2024","OFFICIAL","",""
"hiv-0071","pep","kto płaci","Kto płaci za PEP pozazawodowy w Polsce, zależy od rodzaju ekspozycji i bywa różny — przy części sytuacji koszt może ponosić pacjent. Nie mamy tego jeszcze potwierdzonego u źródła, więc zapytaj o koszt na miejscu, w szpitalu zakaźnym — i nie odkładaj z tego powodu zgłoszenia.","Stowarzyszenie „Jeden Świat""","2025","COMMUNITY","",""
"hiv-0072","pep","gdzie się zgłosić","Po PEP zgłoś się bezpośrednio na SOR albo izbę przyjęć szpitala zakaźnego. Bez skierowania.","PKD Poznań","2025","COMMUNITY","",""
"hiv-0073","pep","anonimowość","PEP nie jest anonimowy — lekarz musi ocenić ryzyko i prowadzić dokumentację, chronioną tajemnicą lekarską.","PKD Poznań","2025","COMMUNITY","",""
"hiv-0074","pep","czego PEP nie robi","PEP nie chroni przed kiłą, rzeżączką, chlamydią, HPV ani innymi chorobami przenoszonymi drogą płciową.","PKD Poznań","2025","COMMUNITY","",""
"hiv-0083","ekspozycja","pierwsze minuty","Po zakłuciu nie wyciskaj rany. Przemyj ją wodą z mydłem.","gov.pl","2024","OFFICIAL","",""
"hiv-0084","ekspozycja","pierwsze minuty","Błony śluzowe po ekspozycji przepłucz wodą albo solą fizjologiczną.","gov.pl","2024","OFFICIAL","",""
"hiv-0085","ekspozycja","zgłoszenie","Zdarzenie ekspozycji zawodowej trzeba zgłosić przełożonemu i zarejestrować.","gov.pl","2024","OFFICIAL","",""
"hiv-0086","ekspozycja","kwalifikacja do PEP","Po ekspozycji zgłoś się do ośrodka specjalistycznego najlepiej w ciągu 48 godzin, żeby ocenić potrzebę PEP.","gov.pl","2024","OFFICIAL","",""
"hiv-0087","ekspozycja","pacjent źródłowy","Pacjenta źródłowego bada się w kierunku HIV testem czwartej generacji, za jego zgodą.","gov.pl","2024","OFFICIAL","",""
"hiv-0110","granice","wyniki badań","Krąg nie interpretuje wyników badań konkretnej osoby. Od tego jest lekarz.","Projekt Krąg","2026-07","COMMUNITY","",""
"hiv-0111","granice","leczenie","Krąg nie sugeruje zmian w leczeniu ani doboru leków. Takie decyzje podejmuje lekarz prowadzący.","Projekt Krąg","2026-07","COMMUNITY","",""
"hiv-0112","granice","sytuacja nagła","W nagłej sytuacji Krąg kieruje do PEP w szpitalu zakaźnym. Nie zastępuje kontaktu z lekarzem.","Projekt Krąg","2026-07","COMMUNITY","",""
"hiv-0061","prep-pl","refundacja","W Polsce w 2026 roku PrEP nie jest refundowany. Pacjent płaci pełną cenę leku, wizyty i badań.","Rynek Zdrowia (prasa branżowa)","2025-2026","VERIFIED","",""
"hiv-0062","prep-pl","koszt","Miesięczny koszt generycznego PrEP w Polsce to orientacyjnie 150 do 200 złotych, z wahaniami przy brakach leku.","GdziePoLek.pl","2025","COMMUNITY","",""
"hiv-0063","prep-pl","recepta","Od 19 września 2024 roku receptę na PrEP mogą wystawiać także lekarze podstawowej opieki zdrowotnej — nadal pełnopłatnie.","Rynek Zdrowia (prasa branżowa)","2025-2026","VERIFIED","",""
